Input Dish,Actual Output
chicken biryani,"Chicken:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Tin of Traditional Twists and Nuggets

Rice:
title: Falcon Popcorn Rice
title: Ellis Stansel's Gourmet Rice

Spices:
title: McFadden Farm Organic Chili Flakes Herbs
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Chicken Alfredo Pasta,"Fettuccine pasta:
title: De Cecco Capellini Pasta Cut No. 9 (16 Oz. Box) imported from Italy
title: San Giorgio Spaghetti, 16 oz

chicken:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Tin of Traditional Twists and Nuggets

heavy cream:
title: Gumballs Peaches n Cream
title: Vanilla Powder 8 Oz. JR Mushrooms brand"
Chicken Tikka Pizza,"Chicken tikka masala sauce:
title: Korma Coconut Cooking Sauce
title: Something South African Spicy Durban Curry Cooking Sauce

cooked chicken tikka:
title: Plain Butter Cookie, 15 cookies
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)

mozzarella cheese:
title: Sonoma Jack - 2/5lb Wheels
title: Pecorino Romano by Zerto - Pound Cut (1 pound)"
Pizza Napoletana,"Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

Tomato:
title: Fruit Slices Cherry
title: Miracolo of San Gennaro Tomatoes - S. Abagnale - Campania, Italy

Mozzarella:
title: Artichoke Lemon Pesto Grande From Bella Cucina
title: Preserved Farmhouse Lemons by Bella Cucina"
Picanha,"Picanha:
title: Artichoke Lemon Pesto Grande From Bella Cucina
title: Preserved Farmhouse Lemons by Bella Cucina

Salt:
title: Rival 5-Pound Bag of Rock Salt
title: Dynasty Bead Molasses

Pepper:
title: Chile California Dried Chile Pepper
title: Cajun Chef Tabasco Peppers"
Guotie,"Wheat flour:
title: Golden Semolina And Extra Fancy Durum Pasta Flour
title: Authentic Foods Garfava Flour

ground pork:
title: Wild Boar Tenderloin - 2 Pieces per Package
title: Chinese Flower, Loose tea by the Pound

water:
title: Tart Cherries (Pie Cherries) in water
title: Rose Flower Water"
Phanaeng Curry,"Red curry paste:
title: Tuong Ot Sambal Oelek Chili Paste
title: Maesri Thai Green Curry Paste

coconut milk:
title: Mae Ploy Coconut Milk
title: White King Champ-O-Rado - Chocolate Rice Porridge Mix

peanuts:
title: Coconut Cream Flavored Peanuts
title: Fastachi&reg; Dry Roasted &amp; Salted Hazelnuts"
Pastal de belem,"Eggs:
title: Swiss Sapsago-12 / 3 Oz Cones
title: Roman Beans

sugar:
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)

pastry cream:
title: Boysenberries in light syrup
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors"
Pan de bono,"Wheat flour:
title: Golden Semolina And Extra Fancy Durum Pasta Flour
title: Authentic Foods Garfava Flour

cornstarch:
title: Welpac Katakuriko Potato Starch
title: Maizena Corn Starch Unflvrd

cheese:
title: El Nacho Grande Bag Cheese
title: Sonoma Jack - 2/5lb Wheels"
Dondurma,"Salep:
title: Kombu - 2.1 oz - Strips
title: Bernard Hi-Protein Farina Cereal Mix

Sugar:
title: CK Products 4 Ounce Black Crystal Sugar
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar

Milk:
title: Coconut Milk
title: Carob Chips, Milk Sweetened"
