Input Dish,Actual Output
chicken biryani,"Chicken:
title: Mountain House Rice &amp; Chicken
title: Hickory Smoked Bacon

Basmati rice:
title: 2.2 Lb Molinella Arborio Rice
title: Vigo Saffron Yellow Rice

Saffron (optional):
title: Huntsman - Pound Cut (1 pound)
title: Art of Appreciation Gift Baskets Wine Lovers Gourmet Food Gift Basket (Chocolate)"
Chicken Alfredo Pasta,"Chicken breast:
title: Steak Lamb BBQ Wild-Game (1 oz.)
title: 8 Fresh Salmon Fillets

Parmesan cheese:
title: 2 Caramel Corn, 1 Chocolate Popcorn Flavorings
title: Minor&rsquo;s Clam Base - no-added MSG

heavy cream.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Chicken Tikka Pizza,"Chicken:
title: Mountain House Rice &amp; Chicken
title: Hickory Smoked Bacon

Mozzarella cheese:
title: Assorted Rock Candy strings
title: 2 Caramel Corn, 1 Chocolate Popcorn Flavorings

Tomatoes.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Pizza Napoletana,"Dough:
title: Green Luster Dust
title: Cocoyam Fu Fu Flour

San Marzano tomatoes:
title: Assorted Rock Candy strings
title: Dried Star Anise Seeds

Mozzarella cheese.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Picanha,"Beef picanha:
title: Omaha Steaks 6 (7.75 oz.) Chicken Cordon Bleu
title: Omaha Steaks 12 (7.75 oz.) Chicken Cordon Bleu

salt:
title: Rival 5-Pound Bag of Rock Salt
title: Shrimp Powder

peppercorns.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Guotie,"Pork mince:
title: Garlic Paste
title: Shrimp Powder

Soy sauce:
title: Pearl River Bridge Superior Light Soy Sauce
title: Pearl River Bridge Superior Dark Soy Sauce

Ginger.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Phanaeng Curry,"Chicken thigh meat:
title: Assorted Rock Candy strings
title: Steak Lamb BBQ Wild-Game (1 oz.)

shrimp paste (teri):
title: Girolle (2 pound)
title: LOUISIANA Chicken Fry (Seasoned)

and lemongrass.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Pastal de belem,"Pork meat:
title: Maine Lobster Meat
title: Minor&rsquo;s Clam Base - no-added MSG

onions:
title: Dynasty Sliced Water Chestnuts
title: Capers Berries

garlic cloves:
title: Assorted Rock Candy strings
title: Dried Star Anise Seeds"
Pan de bono,"Flour:
title: Cocoyam Fu Fu Flour
title: Kentucky Kernel Seasoned Flour

Yeast:
title: Shrimp Powder
title: Lime Juice

Sugar.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Dondurma,"Butter:
title: Apple Butter
title: Historic Lychburg Tennessee Whiskey Sweet Tater Butter

yogurt (strained):
title: White Cheese (Sheep's Milk)
title: Magnasco Edam (1 pound)

and milk powder:
title: Hot Curry Powder
title: Shrimp Powder"
Parrilla,"Beef steak:
title: Steak Lamb BBQ Wild-Game (1 oz.)
title: 5 pounds Taku River King Salmon Fillets

garlic:
title: Lingham's Hot Sauce with Garlic
title: Kikkoman Black Bean Sauce with Garlic

olive oil.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Parrilla,"Beef steak:
title: Steak Lamb BBQ Wild-Game (1 oz.)
title: 5 pounds Taku River King Salmon Fillets

salt:
title: Rival 5-Pound Bag of Rock Salt
title: Shrimp Powder

peppercorns.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Carne asada tacos,"Beef skirt steak:
title: Steak Lamb BBQ Wild-Game (1 oz.)
title: 5 pounds Taku River King Salmon Fillets

Lime juice:
title: Lime Juice
title: Deni 5750 Snow Factory Premium Syrup

Cilantro:
title: REX&reg; Tarragon
title: Capers Berries"
Carna asada tacos,"Beef:
title: Hickory Smoked Bacon
title: Steak Lamb BBQ Wild-Game (1 oz.)

tortillas:
title: Assorted Rock Candy strings
title: Vegetarian Tamales

salsa verde:
title: Szechuan Sauce
title: Cracked Pepper Marinade &quot;Au Poivre&quot;"
Pernil,"Pork shoulder:
title: Steak Lamb BBQ Wild-Game (1 oz.)
title: Fresh Whole Rabbit

garlic cloves:
title: Assorted Rock Candy strings
title: Dried Star Anise Seeds

cumin seeds.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Shashlik,"Beef:
title: Hickory Smoked Bacon
title: Steak Lamb BBQ Wild-Game (1 oz.)

onion:
title: REX&reg; Tarragon
title: Chili Relish

bell pepper:
title: Hot Curry Powder
title: Capers Berries"
Roti Canai,"Flour:
title: Cocoyam Fu Fu Flour
title: Kentucky Kernel Seasoned Flour

Coconut milk or water:
title: Tart Cherries (Pie Cherries) in water
title: Rose Flower Water

Yeast (if using a yeasted version) - Note: The traditional unleavened roti canai would not include yeast. For this request assuming non-yeasted flattenbread is implied by the common name usage in various parts of South Asia where both versions exist with and without yeast:
title: Minor&rsquo;s Clam Base - no-added MSG
title: Boysenberries in light syrup"
Hamamatsu gyoza,"Pork filling:
title: Chocolate Popcorn Flavoring
title: Assorted Rock Candy strings

cabbage mixture:
title: Bernard Carrot Dietary Cake Mix
title: Assorted Rock Candy strings

garlic paste.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Kaisendon,"Eggs:
title: Gummy Raspberries
title: McFadden Farm Organic Chili Flakes Herbs

Tofu (silken):
title: Ladyfingers (1.1 pound)
title: igourmet Red Dragon (7.5 ounce)

Tomatoes.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
Jingisukon,"Meat (usually beef or lamb):
title: Steak Lamb BBQ Wild-Game (1 oz.)
title: Girolle (2 pound)

Horse milk:
title: Coconut Milk
title: Mae Ploy Coconut Milk

Dashi paste.:
title: Dave's Gourmet - Hurtin' Jalapeno - Roasted Garlic - Temporary Insanity - Cool Cayenne - Mini Pack - Four 0.75 oz bottles.
title: Chocolate Assortment Gift Box,Assorted Chocolates and Chocolate Covered Nuts,Milk,Dark and White Chocolate Truffles,Milk Chocolate Roasted Pecans,Best Assortment Chocolates and Chocolate Covered Nuts."
