Input Dish,Actual Output
chicken biryani,"1. Basmati rice

2. Chicken (preferably thighs or breasts)

3. Biryani spice mix (which typically includes a blend of cinnamon:
title: Montana Gift Crate: 10oz Huckleberry Syrup, 8oz Huckleberry Jam, 10oz Huckleberry Topping
title: Sardine In Tomato Sauce W/ Chili

cloves:
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads
title: Ceylon Tea, 40 bags

cardamom:
title: Cardamon Green - Whole - 1.1 OZ
title: Dried Star Anise Seeds"
Chicken Alfredo Pasta,"1. Fettuccine pasta

2. Chicken breasts:
title: 8 Fresh Salmon Fillets
title: 1 lb. Fresh Jumbo Lump Crabmeat

cooked and sliced

3. Alfredo sauce (or heavy cream and butter/margarine to make it from scratch):
title: igourmet Ricotta Salata-Pound Cut by Zerto (15.5 ounce)
title: Ladyfingers (1.1 pound)"
Chicken Tikka Pizza,"1. Chicken Tikka:
title: Garlic Paste
title: Cheese Tortellini

2. Naan or pizza dough:
title: Zatarain's Mix Crab Cake 5.75 OZ by ZATARAIN'S?Crab Cake Mix
title: Four 6-oz Boxes of White Chocolate Amaretto Cookies

3. Tomato Sauce or pizza sauce:
title: JES Korean Barbecue Sauce
title: El Pato Mexican Hot Style Tomato Sauce"
Pizza Napoletana,"1. Mozzarella di Bufala Campana (Mozzarella made from the milk of water buffaloes in the Campania region):
title: Organic Semolina Flour (Semola di Grano Duro)
title: igourmet Ricotta Salata-Pound Cut by Zerto (15.5 ounce)

2. Fresh Yeast:
title: Noritamago Furikake Rice Seasoning
title: Dynasty Sliced Water Chestnuts

3. San Marzano Tomatoes.:
title: Dai Day Duck Sauce, 40 Ounce - 12 per case.
title: no.172 Butterswt Dark Chocolate Bar, 3.5 Oz -- 12 Per Case."
Picanha,"1. Picanha cut (also known as Top Sirloin Cap):
title: Organic Semolina Flour (Semola di Grano Duro)
title: Smoked Kurpianka - Whole Form (1.3 pound)

thoroughbred meat:
title: Maine Lobster Meat
title: Dried Squid

2. Salt:
title: Rival 5-Pound Bag of Rock Salt
title: Dynasty Bead Molasses"
Guotie,"1. Ground Pork:
title: Fresh Whole Rabbit
title: Omaha Steaks 1 (3 lbs. pkg.) Italian Chicken Fingers

absolutely lean
2. Noodles (preferably thin)
3. Cabbage (shredded):
title: Ladyfingers (1.1 pound)
title: Girolle (2 pound)"
Phanaeng Curry,"1. Coconut Milk

2. Thai Green Curry Paste (Kee Mao)

3. Chicken or any protein of your choice (traditionally chicken is used for Phanaeng Curry)

Please note that while these are the most essential ingredients:
title: De Cecco Capellini Pasta Cut No. 9 (16 Oz. Box) imported from Italy
title: Garlic Paste

a authentic Phanaeng Curry would typically also include bamboo shoots and sometimes Thai basil or other vegetables depending on the recipe or personal preference.:
title: Tazzina Caff&egrave; Pods, 30 count box (five nitrogen flushed packages with six pods in each) just 48 cents per serving.
title: Dai Day Duck Sauce, 40 Ounce - 12 per case."
Pastal de belem,"1. Egg yolks
GroupLayout with confidence and clarity! You'll need:
- A strong grasp of grammar and vocabulary in your target language(s).
- The ability to understand context and infer meaning from clues.
- The commitment to practice regularly and learn effectively.

2. Sugar
3. Cinnamon
These three ingredients:
title: Natasha's Cafe Gourmet Coffee Blend .5lbs bag Beans
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles

combined with a traditional Portuguese custard recipe:
title: Goya Spanish Style Custard Flan
title: Dais Paste Di Mandorla Di Sicilia Almond Cookies

will help you create the rich and iconic Pastel de Belém.:
title: Tazzina Caff&egrave; Pods, 30 count box (five nitrogen flushed packages with six pods in each) just 48 cents per serving.
title: Endangered Species Chocolate Dark Chocolate with Mint Bar, 3 Ounce - 12 per case."
Pan de bono,"1. Flour:
title: Kentucky Kernel Seasoned Flour
title: Cocoyam Fu Fu Flour

2. Eggs:
title: California Chili Pods
title: Welpac Panko Bread Crumbs

3. Cheese (traditionally queso fresco or bocadillo):
title: Atalanta Cypriot Halloumi (8.8 ounce)
title: igourmet Ricotta Salata-Pound Cut by Zerto (15.5 ounce)"
Dondurma,"1. Milk (full-fat):
title: Loacker Quadratini Vanilla Wafers (8)
title: Ladyfingers (1.1 pound)

2. Sugar:
title: CK Products 4 Ounce Black Crystal Sugar
title: Coconut Milk

3. Salep flour (or simply ""salep""):
title: Organic Semolina Flour (Semola di Grano Duro)
title: Sour Manioc Starch Amafil- 35.2 Oz (Pack of 2) | Polvilho Azedo Amafil - 1 Kg (Pack of 2)"
