Input Dish,Actual Output
chicken biryani,"chicken:
title: Crispy Belgian Waffles individually wrapped
title: Maggi Chicken Bouillon Cubes 8, cubes

basmati rice:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia

onions:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Tiptree's Gooseberry preserve packed in 12oz jar"
Chicken Alfredo Pasta,"chicken breast:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken

pasta:
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia
title: Enrico Formella's Mild Giardiniera Relish - 16 oz jar

heavy cream:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam"
Chicken Tikka Pizza,"chicken:
title: Crispy Belgian Waffles individually wrapped
title: Maggi Chicken Bouillon Cubes 8, cubes

tomato sauce:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

pizza dough:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam"
Pizza Napoletana,"tomato sauce:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

mozzarella cheese:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles

pizza dough:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam"
Picanha,"beef:
title: Citterio, Prosciutto, 3 oz
title: Wild Boar Tenderloin - 2 Pieces per Package

beef fat:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

salt:
title: Maggi Chicken Bouillon Cubes 8, cubes
title: Caffe Kimbo Gold Medal (Ground) - 8.8 oz vacuum pack"
Guotie,"dough:
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ult Strength, 11.5 oz gel
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ultra Strength, 21 oz gel

pork:
title: Citterio, Prosciutto, 3 oz
title: Crispy Belgian Waffles individually wrapped

cabbage:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Tiptree's Gooseberry preserve packed in 12oz jar"
Phanaeng Curry,"coconut milk:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

chicken:
title: Crispy Belgian Waffles individually wrapped
title: Maggi Chicken Bouillon Cubes 8, cubes

green curry paste:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Pastal de belem,"egg yolks:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Tiptree's Gooseberry preserve packed in 12oz jar

cashews:
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia
title: Tazzina Ambassador Espresso Whole Bean, vacuum sealed 12 oz bags

sugar:
title: 3 pack 1 grain 500 saccharin tablets
title: Celestial Seasonings Tension Tamer Tea, 20 ct"
Pan de bono,"cornmeal:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

wheat flour:
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia
title: Nestle Nido Instant Dry Whole Milk, 12.6oz - Pack of 2 Cans

water:
title: Tart Cherries (Pie Cherries) in water
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ult Strength, 11.5 oz gel"
Dondurma,"milk:
title: Nestle Nido Instant Dry Whole Milk, 12.6oz - Pack of 2 Cans
title: Tiptree's Gooseberry preserve packed in 12oz jar

sugar:
title: 3 pack 1 grain 500 saccharin tablets
title: Celestial Seasonings Tension Tamer Tea, 20 ct

gelatin:
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ult Strength, 11.5 oz gel
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ultra Strength, 21 oz gel"
Parrilla,"beef:
title: Citterio, Prosciutto, 3 oz
title: Wild Boar Tenderloin - 2 Pieces per Package

onions:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Tiptree's Gooseberry preserve packed in 12oz jar

chimichurri sauce:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles"
Parrilla,"beef:
title: Citterio, Prosciutto, 3 oz
title: Wild Boar Tenderloin - 2 Pieces per Package

onions:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Tiptree's Gooseberry preserve packed in 12oz jar

chimichurri sauce:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles"
Carne asada tacos,"beef:
title: Citterio, Prosciutto, 3 oz
title: Wild Boar Tenderloin - 2 Pieces per Package

lime:
title: Fruit Slices Lime
title: Celestial Seasonings Tension Tamer Tea, 20 ct

cilantro:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia"
Carna asada tacos,"beef:
title: Citterio, Prosciutto, 3 oz
title: Wild Boar Tenderloin - 2 Pieces per Package

taco seasoning:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles

tortillas:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles"
Pernil,"pork:
title: Citterio, Prosciutto, 3 oz
title: Crispy Belgian Waffles individually wrapped

garlic:
title: Mango Fruit Tea, Loose tea in 4 Ounce tin
title: IL Primo Giardiniera Marinated Pepper Mix- Italian Style (Hot), 16 fl oz

paprika:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Maggi Chicken Bouillon Cubes 8, cubes"
Shashlik,"pork:
title: Citterio, Prosciutto, 3 oz
title: Crispy Belgian Waffles individually wrapped

onions:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Tiptree's Gooseberry preserve packed in 12oz jar

skewers:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Tiptree's Gooseberry preserve packed in 12oz jar"
Roti Canai,"flour:
title: Maier's, Seeded Italian Bread, 20 oz
title: Bigelow Green Tea w/Peach Tea Bags, 20 ct

oil:
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ult Strength, 11.5 oz gel
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ultra Strength, 21 oz gel

water:
title: Tart Cherries (Pie Cherries) in water
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ult Strength, 11.5 oz gel"
Hamamatsu gyoza,"pork:
title: Citterio, Prosciutto, 3 oz
title: Crispy Belgian Waffles individually wrapped

shrimp:
title: Kikkoman Chinese Style Seafood Soup Mix - Crab Flavor
title: Crispy Belgian Waffles individually wrapped

cabbage:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Tiptree's Gooseberry preserve packed in 12oz jar"
Kaisendon,"rice:
title: Maggi Chicken Bouillon Cubes 8, cubes
title: Nestle Nido Instant Dry Whole Milk, 12.6oz - Pack of 2 Cans

pork:
title: Citterio, Prosciutto, 3 oz
title: Crispy Belgian Waffles individually wrapped

egg noodles:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles"
Jingisukon,"mutton:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Lijjat Punjabi Indian Papad - Traditional Handmade - 3 packages of 7 oz

Mongolian parsley:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

onions:
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam
title: Tiptree's Gooseberry preserve packed in 12oz jar"
Yokohama-style ramen,"lardons:
title: Tiptree's Gooseberry preserve packed in 12oz jar
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles

soy sauce:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam

miso:
title: Minor&rsquo;s Clam Base - no-added MSG
title: Kikkoman Chinese Style Seafood Soup Mix - Crab Flavor"
Chutoro nigiri sushi,"sushi rice:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia

fresh tuna:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia

nori sheets:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam"
Goma dare,"wasabi:
title: Flying Lion Vietnamese Style Fish Sauce - 24 ounce bottle
title: Frontier Turmeric Root Ground, 1.92-Ounce Bottle

sesame sauce:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Tiptree's Gooseberry preserve packed in 12oz jar

soy sauce:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Large Tin of Green Cerignola Olives (Olive di Cerignola) from Puglia"
Onigiri,"rice:
title: Maggi Chicken Bouillon Cubes 8, cubes
title: Nestle Nido Instant Dry Whole Milk, 12.6oz - Pack of 2 Cans

seaweed sheet:
title: Crispy Belgian Waffles individually wrapped
title: Mango Fruit Tea, Loose tea in 4 Ounce tin

filling:
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ult Strength, 11.5 oz gel
title: YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ultra Strength, 21 oz gel"
Takoyaki,"Takoyaki:
title: Nanka Seimen Futonaga Udon Noodles
title: Chef Myron's Ginger Lemon Sauce for Fish &amp; Seafood - Tsukeyaki

taku (octopus):
title: Great Gourmet Squid - Tubes and Tentacles, Clean, (2 x 2.5 lb packs)
title: Goya Beans, Pinto, 1 Pound (Pack of 24)

tempura flakes:
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam"
