Input Dish,Actual Output
chicken biryani,"Rice:
title: Falcon Popcorn Rice
title: Ellis Stansel's Gourmet Rice

Chicken:
title: Mountain House Rice &amp; Chicken
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken

Basmati:
title: 2.2 Lb Molinella Arborio Rice
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Chicken Alfredo Pasta,"Here are the top 3 essential ingredients needed for Chicken Alfredo Pasta:

Chicken:
title: Classico Pasta Sauce Signature Recipes Creamy Alfredo
title: El Nacho Grande Bag Cheese

Fettuccine:
title: Classico Pasta Sauce Signature Recipes Creamy Alfredo
title: Five Pasta Gift Box Featuring All-Natural Angel Hair, Linguini and Fettuccini

Parmesan:
title: Calorie Free Veggie Dip 340g Blue Cheese
title: Classico Pasta Sauce Signature Recipes Creamy Alfredo"
Chicken Tikka Pizza,"Chicken:
title: Mountain House Rice &amp; Chicken
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken

Mozzarella:
title: Calorie Free Veggie Dip 340g Blue Cheese
title: El Nacho Grande Bag Cheese

Naan:
title: Calorie Free Veggie Dip 340g Blue Cheese
title: El Nacho Grande Bag Cheese"
Pizza Napoletana,"Flour:
title: Cocoyam Fu Fu Flour
title: Golden Semolina And Extra Fancy Durum Pasta Flour

Yeast:
title: Shrimp Powder
title: Penguin Fizzy Kola Gum with Kola Nut and Ginseng

San Marzano Tomatoes:
title: CAF&Eacute; BRITT - GOURMET COFFEE, Ground Coffee, Decaffeinated, Costa Rican Coffee, Dark Roast, 12 Oz. Bag
title: CAF&Eacute; BRITT - GOURMET COFFEE, Whole Bean Coffee Blend, Tres Rios, Costa Rican Coffee, Single Origin, Medium Roast, 12 Oz. Bag"
Picanha,"Here are the top 3 essential ingredients needed for Picanha:

Picanha steak:
title: Smoked Sockeye (Red) Salmon-1&amp;1/4 pound fillet
title: Omaha Steaks 1 (3 lbs. pkg.) Italian Chicken Fingers

Garlic:
title: Lingham's Hot Sauce with Garlic
title: Kernel Seasons Parmesan &amp; Garlic

Salt:
title: Himalayan Large Salt Block
title: Rival 5-Pound Bag of Rock Salt"
Guotie,"Wontons. Here are the top 3 essential ingredients needed for Guotie (Wontons):

Pork:
title: Art of Appreciation Gift Baskets   Fishing Fun Gift Bag of Snacks with Smoked Salmon
title: Calorie Free Veggie Dip 340g Blue Cheese

Wonton Wrappers:
title: Baked-Not Fried Ramen Noodles Beef Flavor, Non-Meat Source, Vegetarian, Heart Healthy, No Cholesterol, No Added Oil
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar

Scallions:
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads
title: Jam &amp; Jelly 3 different 5oz Jar Handcrafted Gift Crate, this Set is from Huckleberry Haven and features Chokecherry Jelly, Huckleberry Jam and Rasy-Huck Jam"
Phanaeng Curry,"Here are the 3 most essential ingredients needed for Panang Curry:

Chili Peppers:
title: Thai Kitchen Pad Thai with Chili Stir-Fry Rice Noodles with Sauce
title: 2 Caramel Corn, 1 Chocolate Popcorn Flavorings

Coconut Milk:
title: Mae Ploy Coconut Milk
title: Coconut Milk

Galangal:
title: Thai Kitchen Dried Lemon Grass
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Pastal de belem,"Custard paste:
title: Tiptree's Gooseberry preserve packed in 12oz jar
title: Thai Sauce and Marinade, spicy and sweet with kaffir and tamarind. 3 bottles

egg yolks:
title: Baked-Not Fried Ramen Noodles Beef Flavor, Non-Meat Source, Vegetarian, Heart Healthy, No Cholesterol, No Added Oil
title: CAF&Eacute; BRITT - GOURMET COFFEE, Ground Coffee, Decaffeinated, Costa Rican Coffee, Dark Roast, 12 Oz. Bag

sugar:
title: 3 pack 1 grain 500 saccharin tablets
title: Sweet 'N Low Sugar-Free Peppermint flavor"
Pan de bono,"Here are the top 3 essential ingredients needed for Pan de Bono:

Harina P.A.:
title: La Perla del Mayab Annatto Seed Paste Achiote, 14 oz.
title: Whole wheat Couscous, 1 lb.

Lactosa:
title: American Health More Than A Greens 9.24 oz (262 grams) Pwdr
title: Welpac Katakuriko Potato Starch

Manteca:
title: Gumballs Peaches n Cream
title: Gumballs Black Cherry"
Dondurma,"Mastika:
title: Anise Drops Abbaye de Flavigny
title: Chinotto

Salep:
title: Orange Flower Water 16 oz. Malandel
title: Frontier Natural Products 1lb Cinnamon Sticks, Korintje 6 in. Vera Aa Grade

Water:
title: Sparkling Water
title: Rose Flower Water"
